Title	Series	World	Author	Words	Start	Finish	Rating
The Frugal Wizard's Handbook for Surviving Medieval England			Brandon Sanderson	77,634	7/18/2023	7/19/2023	
A Wizard of Earthsea		Earthsea	Ursula K. Le Guin	56,533	7/20/2023	7/23/2023	
The Crimson Campaign	The Powder Mage Trilogy		Brian McClellan	174,435	7/24/2023	7/27/2023	
Gleanings	Arc of a Scythe		Neal Shusterman	100,000	7/27/2023	7/29/2023	
Yumi and the Nightmare Painter		Cosmere	Brandon Sanderson	113,455	7/31/2023	8/2/2023	
The Lies of Locke Lamora	Gentleman Bastard		Scott Lynch	190,000	8/3/2023	8/5/2023	
Red Seas Under Red Skies	Gentleman Bastard		Scott Lynch	200,000	8/5/2023	8/9/2023	
The Republic of Thieves	Gentleman Bastard		Scott Lynch	218,000	8/9/2023	8/11/2023	
A Game of Thrones	A Song of Ice and Fire		George R. R. Martin	296,901	8/12/2023	8/18/2023	
A Clash of Kings	A Song of Ice and Fire		George R. R. Martin	318,903	8/19/2023	8/30/2023	
A Storm of Swords	A Song of Ice and Fire		George R. R. Martin	414,604	8/30/2023	9/7/2032	
A Feast for Crows	A Song of Ice and Fire		George R. R. Martin	295,032	9/7/2023	9/18/2023	
A Dance with Dragons	A Song of Ice and Fire		George R. R. Martin		9/18/2023		
